,returns,garch_rolling_95_t,garch_rolling_99_t,garch_rolling_95_n,garch_rolling_99_n
2017-07-14,0.4662616170009233,-0.8414641756920517,-1.488319825438708,-0.8981772411571209,-1.2944425086710218
2017-07-17,-0.0052914236706864,-0.8239303003869783,-1.457551912989399,-0.8856367689321117,-1.277462838335828
2017-07-18,0.0597678698110987,-0.7580774765773175,-1.345884458865064,-0.8208655215100356,-1.1862270607269552
2017-07-19,0.535825821605345,-0.7011010848192554,-1.2513032025570823,-0.7709637636169004,-1.1160990941078532
2017-07-20,-0.0153671088607044,-0.7371848485603141,-1.3165123484355998,-0.8200402914666177,-1.1865135176943504
2017-07-21,-0.0367939329208882,-0.6859372960095302,-1.231288980049184,-0.7717128276182958,-1.1184189339299049
2017-07-24,-0.1064300995408804,-0.647422903996366,-1.1709945656241703,-0.7398353887640413,-1.0729408312101347
2017-07-25,0.2918907519898033,-0.621796003315202,-1.1279402329316541,-0.7248114031151849,-1.0513061288994712
2017-07-26,0.0282624006119479,-0.61037934645196,-1.1061428396823783,-0.7213670644331222,-1.0467731883547333
2017-07-27,-0.0973161637393713,-0.5767215859152827,-1.0480443340735572,-0.6967737054746201,-1.0120804662747098
2017-07-28,-0.1342015678116038,-0.5592007725780633,-1.016923515052845,-0.6897920940518608,-1.0020493298414082
2017-07-31,-0.0728410834559801,-0.550319553651683,-1.0000461647430945,-0.6898963215036618,-1.0018627430541427
2017-08-01,0.2446120774938466,-0.5325681194901082,-0.9684124937824012,-0.6799913753543507,-0.9873904642010847
2017-08-02,0.0492527407347449,-0.5264886978146723,-0.9590971088280846,-0.6769183662460257,-0.983190016917572
2017-08-03,-0.218604183494567,-0.5008948231363685,-0.9142644066447679,-0.6601426110799756,-0.9591444668997492
2017-08-04,0.1887321417539568,-0.5194821508314389,-0.9460940044773988,-0.6800359966168823,-0.9864871830146572
2017-08-07,0.1645844644280467,-0.5027009626100437,-0.9175781889355161,-0.6675940884484274,-0.9688921852891911
2017-08-08,-0.2417352230385335,-0.48333138582214497,-0.8804479264990849,-0.6562286689856864,-0.9527522501706396
2017-08-09,-0.0363674792712376,-0.5064643788705692,-0.9137423342228466,-0.6780636815730184,-0.9830611926670074
2017-08-10,-1.458021840074153,-0.48549186516393056,-0.8746409353357426,-0.6646742029802676,-0.963841445243819
2017-08-11,0.1274757127987136,-1.0822817296366667,-1.9235466693897314,-1.2204516468199234,-1.7482007598362925
2017-08-14,0.9993651246049404,-0.9740383886779479,-1.7297103224552473,-1.0941833946982005,-1.5693656134892897
2017-08-15,-0.049893232688349,-1.0943466322632116,-1.9319674100162545,-1.1807857764290595,-1.6926908699831467
2017-08-16,0.1419095523332371,-0.9886090509688896,-1.7541983622167645,-1.0688787979740269,-1.5343094639741173
2017-08-17,-1.5557342487191417,-0.9015372637342967,-1.6105813840490448,-0.9815028589237428,-1.4107318938775453
2017-08-18,-0.1837053661351993,-1.3096413708659815,-2.334339287310379,-1.3840158641771114,-1.979309144985241
2017-08-21,0.1161975714566196,-1.1915448278431715,-2.1308721650515867,-1.2513562696262712,-1.791390933600597
2017-08-22,0.9891695260625076,-1.08688827155796,-1.951165846950688,-1.140392533006752,-1.6338499843863257
2017-08-23,-0.3459570132639007,-1.158495336047599,-2.084336615806314,-1.2013302722629857,-1.720188860622704
2017-08-24,-0.2076616747138441,-1.088534681083326,-1.950957020139984,-1.1262616830433088,-1.6140382988384439
2017-08-25,0.1671471668937421,-1.0107505172774185,-1.8138579633461025,-1.0442768818207162,-1.49806676296604
